事件,事件A,事件B,关系,年份,实体
1933年8月12日，美属菲律宾前参议员陆雷彝致信美国驻菲律宾总督墨菲，试图以地理邻近为由主张一些南沙岛屿构成菲律宾群岛一部分。 ,美属菲律宾前参议员陆雷彝致信美国驻菲律宾总督墨菲。,陆雷彝主张一些南沙岛屿构成菲律宾群岛一部分。,因果,1933,属菲律宾陆雷彝美国墨菲南沙
1933年10月9日，美国国务卿复信称，“这些岛屿……远在1898年从西班牙获得的菲律宾群岛的界限之外”。 ,美国国务卿复信称这些岛屿远在1898年从西班牙获得的菲律宾群岛的界限之外。,美国在1898年获得了菲律宾群岛。,顺承,1933,西班牙菲律宾
1935年5月，美国陆军部长邓恩致函国务卿赫尔，请求国务院就菲律宾对南沙群岛部分岛屿提出领土要求的“合法性和适当性”发表意见。美国国务院历史顾问办公室一份由博格斯等签署的备忘录指出，“显然，美国毫无根据主张有关岛屿构成菲律宾群岛的一部分。”,美国陆军部长邓恩致函国务卿赫尔，请求国务院就菲律宾对南沙群岛部分岛屿提出领土要求的“合法性和适当性”发表意见。,美国国务院历史顾问办公室的备忘录指出，美国毫无根据主张有关岛屿构成菲律宾群岛的一部分。,因果,1935,美国邓恩赫尔菲律宾南沙群岛美国国务院顾问办公室博格斯
1943年第二次世界大战取得决定性胜利后，中、美、英三国首脑于1943年11月22至26日在开罗举行会议，讨论如何协调对日作战的共同军事问题和战后如何处置日本等政治问题，史称“开罗会议”。其中，政治问题主要是于23日晚和25日下午中国国民政府主席蒋介石（兼行政院院长、军事委员会委员长）和美国总统罗斯福的两次长谈中讨论。因为美、英事先已进行过商议，无需再谈。中美双方领导人就八个方面的问题进行了讨论，并达成若干共识。其中，关于中国的领土主权问题，中美双方同意：日本用武力从中国夺去的东北各省、台湾和澎湖列岛，战后必须归还中国。这也就为《开罗宣言》关于台湾回归中国的内容打下了基础。而后来在《开罗宣言》草案讨论中，中英代表还围绕着宣言中是否写明满洲、台湾、澎湖等归还中国的问题进行了颇为激烈的争论，最终美方同意中方代表的观点。最终制定了《开罗宣言》并于12月1日发表。在《开罗宣言》中规定：“剥夺日本从第一次世界大战爆发后，在太平洋上夺得或占领的一切岛屿”，使日本强占的中国领土，例如东北地区、台湾和澎湖群岛等“归还中国”。,中、美、英三国首脑在开罗举行会议，讨论对日作战和战后处置日本的政治问题。,《开罗宣言》在会议后制定，并规定日本夺取的中国领土归还中国。,顺承,1943,中美英开罗日中国美国日本澎湖台湾满洲太平洋
1945年7月26日，中、美、英三国发表《波茨坦公告》，促令日本无条件投降。在公告中重申了《中美英三国开罗宣言》精神，规定《开罗宣言》之条件必将实施,中、美、英三国发表《波茨坦公告》。,公告中重申了《中美英三国开罗宣言》精神，规定《开罗宣言》之条件必将实施。,顺承,1945,美英波茨坦日本中开罗
1946年，菲律宾基于安全理由首次提出占领南沙群岛的要求。 ,菲律宾基于安全理由首次提出占领南沙群岛的要求。,菲律宾在南沙群岛的主权争议持续升温。,顺承,1946,菲律宾南沙
"1946年7月23日,刚刚独立的菲律宾政府即表示,出于国家安全的考虑,菲律宾拟将位于巴拉望(Palawan)岛以西200海里处的南沙群岛“纳入国防范围”。",菲律宾政府表示将南沙群岛“纳入国防范围”。,菲律宾刚刚独立。,因果,1946,菲律宾政府菲律宾巴拉望
1950年5月13日，《马尼拉论坛报》和马尼拉中央社电发表社论，表示南沙群岛距离菲领土甚近，为保卫菲国安全，菲政府不必考虑会付出多大的牺牲，付出一切代价立即占领南沙群岛。 ,1950年5月13日，《马尼拉论坛报》和马尼拉中央社电发表社论，呼吁菲政府立即占领南沙群岛。,社论表示南沙群岛距离菲领土甚近，保卫菲国安全的重要性。,因果,1950,马尼拉马尼拉中央社南沙群岛南沙
"1950年,菲律宾总统基季里诺(Quirino)宣称,如果南沙群岛落入敌国手中,将威胁菲律宾的国家安全。 ",菲律宾总统基季里诺宣称南沙群岛落入敌国手中将威胁菲律宾的国家安全。,南沙群岛可能落入敌国手中。,因果,1950,菲律宾南沙
"1951年，《旧金山合约》签署后,菲律宾声称,根据该条约有关日本放弃南沙､西沙群岛所有权的规定,南海有关岛屿已经处于盟军“托管”之下,菲律宾政府及其国民应有权进入这一开放的海域,并以此为由单方面将南沙群岛列入“国防范围”。 ",1951年，《旧金山合约》签署后，菲律宾声称南海有关岛屿已处于盟军“托管”之下。,菲律宾政府及其国民应有权进入这一开放的海域，并以此为由单方面将南沙群岛列入“国防范围”。,因果,1951,旧金山菲律宾日本南沙
1951年：旧金山对日和平条约，是同盟国与轴心国日本所签订的片面和约，起草人为当时的美国国务卿顾问杜勒斯，由包括日本在内的48个国家于1951年9月8日在美国旧金山签订了这份和约；这份和约的。该和约主要是为了解决第二次世界大战后战败国日本的战后地位问题，和约的第二条声明日本承认朝鲜独立、放弃台湾、澎湖、千岛群岛、库页岛南部、南沙群岛、西沙群岛等岛屿的权利，但是没有未明确接收国，使得南海主权问题模糊化，也为后来的南海主权争端埋下了伏笔。,1951年旧金山对日和平条约的签订。,和约模糊化了南海的主权问题，为后来的南海主权争端埋下了伏笔。,因果,1951,旧金山日日本美国美国旧金山朝鲜台湾澎湖库页岛南沙群岛西沙南海
在1951年8月15日中国外交部长周恩来发表关于美英对日和约草案及旧金山会议声明，在该声明中指出：“草案又故意规定日本放弃对南威岛和西沙群岛的一切权利而不提归还主权问题。实际上，西沙群岛和南威岛正如整个南沙群岛及中沙群岛、东沙群岛一样，向为中国领土，在日本帝国主义发动侵略战争时虽曾一度沦陷，但是日本投降以后已为当时中国政府全部接收。中华人民共和国中央人民政府于此声明：中华人民共和国在南威岛和西沙群岛之不可侵犯的主权，不论美英对日和约草案有无规定及如何规定均不受影响。”,周恩来发表关于美英对日和约草案及旧金山会议的声明。,周恩来指出西沙群岛和南威岛属于中国并声明中国对这些地区的主权。,因果,1951,中国周恩来英日旧金山日本南威岛西沙西沙群岛南沙群岛中沙东沙群岛全部中华人民共和国中央人民政府中华人民共和国美
《对日和约》签订不久，中华人民共和国外交部长周恩来代表中国人民，在1951年9月18日纪念“九·一八”事变时，发表《关于美国及其仆从国家签订旧金山对日和约的声明》：“中华人民共和国中央人民政府再一次声明：旧金山和约由于没有中华人民共和国参加准备、拟制和签订，中央人民政府认为是非法的、无效的，因而是绝对不能承认的”。,中华人民共和国外交部长周恩来发表声明，认为旧金山对日和约是非法的、无效的。,周恩来在1951年9月18日纪念“九·一八”事变时进行此声明。,顺承,1951,日中华人民共和国中国美国旧金山中央人民政府中央
1955年10月，国际民航组织在马尼拉召开会议，美国、英国、法国、日本、加拿大、澳大利亚、新西兰、泰国、菲律宾、南越和中国台湾当局派了代表出席。会议通过的第二十四号决议要求中国台湾当局在南沙群岛加强气象监测，而会上没有任何一个代表对此提出异议或保留。 ,国际民航组织在马尼拉召开会议。,会议通过的第二十四号决议要求中国台湾当局在南沙群岛加强气象监测。,顺承,1955,国际民航组织马尼拉美国英国法国日本加拿大澳大利亚新西兰泰国菲律宾南越中国台湾中国台湾南沙
"1956年,菲律宾商人克洛马代表""人道王国"",占据了南沙群岛的几座岛礁。其属于个人行为,不具有官方身份。台湾当局立即要求菲律宾政府承认南沙群岛属于中国领土,制止克洛马的非法行为。同时,台湾当局派海军巡航南沙群岛,在太平岛驻军,劝离克洛马探险队,来巩固对南沙群岛的司法管辖权。 ",菲律宾商人克洛马占据南沙群岛的几座岛礁。,台湾当局要求菲律宾政府承认南沙群岛属于中国领土，并派海军巡航南沙群岛。,因果,1956,菲律宾南沙台湾克洛马太平岛
1957年5月，美国军队为了所谓“航海工作”，占领了我南沙群岛中的三个岛屿，并建立雷达站。,美国军队为了所谓“航海工作”，占领了南沙群岛中的三个岛屿。,美国军队在这些岛屿上建立了雷达站。,顺承,1957,美国
